id,label,description,kind,iso3,years,since,retired_in,superseded_by
other,Other known referent,A referent that is identifiable but does not yet have a controlled identifier.,reserved,,,1,,
unclear,Unclear referent,The available context does not support a reliable referent assignment.,reserved,,,1,,
not_applicable,Not applicable,Reserved for false-positive candidate matches.,reserved,,,1,,
rwanda_1994,Rwanda 1994,The 1994 genocide against the Tutsi in Rwanda and its aftermath.,case,RWA,1994,1,2,rwanda
rwanda,Rwanda,Speeches invoking the mass killing of Tutsi in Rwanda and its aftermath as genocide or genocidal.,case,RWA,1994,2,,
bosnia_srebrenica,Bosnia and Srebrenica,"Speeches invoking the war in Bosnia and Herzegovina, including the fall of Srebrenica and its commemorations, as genocide or genocidal.",case,BIH,1992-1995,1,,
croatia_yugoslav_wars,Croatia and the Yugoslav wars,"Speeches invoking the Yugoslav wars outside Bosnia and Kosovo as genocide or genocidal, such as the fighting in Croatia and the Krajina, or the wars taken as a whole.",case,HRV,1991-1995,2,,
kosovo,Kosovo,Speeches invoking the Kosovo conflict and the expulsion of its Albanian population as genocide or genocidal.,case,,1998-1999,1,,
darfur,Darfur,Speeches invoking the conflict in Darfur as genocide or genocidal.,case,SDN,2003-,1,,
drc_great_lakes,DRC and the Great Lakes,Speeches invoking mass killing in the Democratic Republic of the Congo and the wider Great Lakes region as genocide or genocidal.,case,COD,,1,2,drc
drc,Democratic Republic of the Congo,"Speeches invoking mass killing in the Democratic Republic of the Congo as genocide or genocidal, including the presence in its east of armed groups formed from the perpetrators of the Rwandan killings.",case,COD,,2,,
burundi,Burundi,Speeches invoking the mass violence in Burundi as genocide or genocidal.,case,BDI,1993-,1,,
iraq_kurds_anfal,Iraqi Kurds and Anfal,Speeches invoking the Anfal campaign and the Halabja attack against Iraq's Kurdish population as genocide or genocidal.,case,IRQ,1988,1,,
east_timor,East Timor,Speeches invoking the violence around East Timor's independence ballot as genocide or genocidal.,case,TLS,1999,1,,
cambodia_khmer_rouge,Cambodia under the Khmer Rouge,"Speeches invoking the mass killing under the Khmer Rouge, including the work of the Extraordinary Chambers, as genocide or genocidal.",case,KHM,1975-1979,1,,
bangladesh,Bangladesh and the war of separation,Speeches invoking the mass killing during the war that separated East Pakistan from Pakistan as genocide or genocidal.,case,BGD,1971,2,,
isil_yazidi,ISIL and the Yazidis,Speeches invoking ISIL's campaign against the Yazidi population of northern Iraq as genocide or genocidal.,case,IRQ,2014-,1,,
isil_iraq_syria,ISIL and other populations of Iraq and Syria,"Speeches invoking ISIL's crimes against populations of Iraq and Syria other than the Yazidis as genocide or genocidal, such as Christians, Shia Muslims and Turkmen.",case,,2014-,2,,
syria,Syria,Speeches invoking the conduct of the parties to the war in Syria as genocide or genocidal.,case,SYR,2011-,2,,
myanmar_rohingya,Myanmar and the Rohingya,Speeches invoking the treatment of the Rohingya population of Myanmar as genocide or genocidal.,case,MMR,2016-,1,,
south_sudan,South Sudan,Speeches invoking the civil war in South Sudan as genocide or genocidal.,case,SSD,2013-,1,,
central_african_republic,Central African Republic,Speeches invoking the sectarian violence in the Central African Republic as genocide or genocidal.,case,CAF,2013-,1,,
xinjiang_uyghurs,Xinjiang and the Uyghurs,Speeches invoking China's treatment of the Uyghur population of Xinjiang as genocide or genocidal.,case,CHN,,1,,
