country_org,start_year,end_year,seat,note
# Security Council membership, 1992-2023. One row per term, not per year:
# scripts/lib/council.py expands these into a (year, member) table.
#
# Elected members serve two calendar years, five replaced each 1 January, so
# "P5 vs E10 vs non-member" is a property of a speech, not of a country. Terms
# are given in the corpus's own country_org spelling (canonical form, after
# config/country_aliases.csv), so they join without further mapping.
#
# 02_normalise.py checks every term against the data: a member that never
# speaks in a year it supposedly served is reported as a likely error in this
# file. Verified clean for 1992-2023.
#
# seat  permanent | elected
China,1992,2023,permanent,Bounded by the corpus period; the seat itself is continuous
France,1992,2023,permanent,Bounded by the corpus period; the seat itself is continuous
Russian Federation,1992,2023,permanent,Succeeded the USSR in December 1991
United Kingdom Of Great Britain And Northern Ireland,1992,2023,permanent,Bounded by the corpus period; the seat itself is continuous
United States Of America,1992,2023,permanent,Bounded by the corpus period; the seat itself is continuous
Austria,1991,1992,elected,
Belgium,1991,1992,elected,
Cote D'ivoire,1991,1992,elected,
Ecuador,1991,1992,elected,
Zimbabwe,1991,1992,elected,
Cape Verde,1992,1993,elected,
Hungary,1992,1993,elected,
Japan,1992,1993,elected,
Morocco,1992,1993,elected,
Venezuela (Bolivarian Republic Of),1992,1993,elected,
Brazil,1993,1994,elected,
Djibouti,1993,1994,elected,
New Zealand,1993,1994,elected,
Pakistan,1993,1994,elected,
Spain,1993,1994,elected,
Argentina,1994,1995,elected,
Czech Republic,1994,1995,elected,
Nigeria,1994,1995,elected,
Oman,1994,1995,elected,
Rwanda,1994,1995,elected,
Botswana,1995,1996,elected,
Germany,1995,1996,elected,
Honduras,1995,1996,elected,
Indonesia,1995,1996,elected,
Italy,1995,1996,elected,
Chile,1996,1997,elected,
Egypt,1996,1997,elected,
Guinea-Bissau,1996,1997,elected,
Poland,1996,1997,elected,
Republic Of Korea,1996,1997,elected,
Costa Rica,1997,1998,elected,
Japan,1997,1998,elected,
Kenya,1997,1998,elected,
Portugal,1997,1998,elected,
Sweden,1997,1998,elected,
Bahrain,1998,1999,elected,
Brazil,1998,1999,elected,
Gabon,1998,1999,elected,
Gambia,1998,1999,elected,
Slovenia,1998,1999,elected,
Argentina,1999,2000,elected,
Canada,1999,2000,elected,
Malaysia,1999,2000,elected,
Namibia,1999,2000,elected,
Netherlands,1999,2000,elected,
Bangladesh,2000,2001,elected,
Jamaica,2000,2001,elected,
Mali,2000,2001,elected,
Tunisia,2000,2001,elected,
Ukraine,2000,2001,elected,
Colombia,2001,2002,elected,
Ireland,2001,2002,elected,
Mauritius,2001,2002,elected,
Norway,2001,2002,elected,
Singapore,2001,2002,elected,
Bulgaria,2002,2003,elected,
Cameroon,2002,2003,elected,
Guinea,2002,2003,elected,
Mexico,2002,2003,elected,
Syrian Arab Republic,2002,2003,elected,
Angola,2003,2004,elected,
Chile,2003,2004,elected,
Germany,2003,2004,elected,
Pakistan,2003,2004,elected,
Spain,2003,2004,elected,
Algeria,2004,2005,elected,
Benin,2004,2005,elected,
Brazil,2004,2005,elected,
Philippines,2004,2005,elected,
Romania,2004,2005,elected,
Argentina,2005,2006,elected,
Denmark,2005,2006,elected,
Greece,2005,2006,elected,
Japan,2005,2006,elected,
United Republic Of Tanzania,2005,2006,elected,
Congo,2006,2007,elected,Republic of the Congo
Ghana,2006,2007,elected,
Peru,2006,2007,elected,
Qatar,2006,2007,elected,
Slovak Republic,2006,2007,elected,
Belgium,2007,2008,elected,
Indonesia,2007,2008,elected,
Italy,2007,2008,elected,
Panama,2007,2008,elected,
South Africa,2007,2008,elected,
Burkina Faso,2008,2009,elected,
Costa Rica,2008,2009,elected,
Croatia,2008,2009,elected,
Libya,2008,2009,elected,
Viet Nam,2008,2009,elected,
Austria,2009,2010,elected,
Japan,2009,2010,elected,
