# The country_org crosswalk — hand-checked, and the gate on the map.
#
# One row per canonical speaker label, after config/country_aliases.csv has been
# applied. scripts/02_normalise.py refuses to run if the data contains a
# country_org this file has never seen, so a new speaker cannot silently drop
# out of the map or the state/non-state comparison.
#
# entity_type   state | igo | un | ngo | civil_society | academia | company | other
#               ngo is international or transnational; civil_society is national
#               or local. Most of the long tail is the latter: local associations
#               briefing under the Women, Peace and Security agenda.
# iso3          ISO 3166-1 alpha-3. States only. Historical states carry their
#               successor's code (Zaire -> COD) so they can still be placed.
# un_regional_group  One of the five UN groups, or empty for observers,
#               non-members and every non-state speaker.
# lat, lon      Country centroid, states only. Non-state speakers deliberately
#               have none: a fake centroid on the map would invent a claim.
#
# Propose rows for new speakers with:
#     python tools/bootstrap_entities.py --missing
country_org,entity_type,iso3,un_regional_group,lat,lon,note
Afghan Institute For Strategic Studies,academia,,,,,
Afghanistan Research And Evaluation Unit,academia,,,,,
Association Of African Women For Research And Development,academia,,,,,
Brian Urquhart Center For Peace Operations,academia,,,,,
"Carnegie Endowment for International Peace (Washington, D.C.)",academia,,,,,
Center For Geostrategic Studies,academia,,,,,
Center On International Cooperation,academia,,,,,
Centre For Energy And Climate Of The French Institute Of International Relations,academia,,,,,
Centre National D’études Stratégiques Et De Sécurité,academia,,,,,
Challenges Forum,academia,,,,,
Chinese Academy of Sciences,academia,,,,,
Columbia University,academia,,,,,
Geneva Academy Of International Humanitarian Law And Human Rights,academia,,,,,
Global Center on Cooperative Security,academia,,,,,
"Groupe De Recherche, D'etude Et De Formation Femme-Action",academia,,,,,
"Harvard University (Cambridge, Mass.)",academia,,,,,
Hudson Institute,academia,,,,,
Institute For Security Studies,academia,,,,,
International Centre For The Study Of Radicalisation And Political Violence,academia,,,,,
International Peace Institute,academia,,,,,
"Joan B. Kroc Institute for International Peace Studies (Notre Dame, Indiana)",academia,,,,,
"Johns Hopkins University (Baltimore, Md.). School of Advanced International Studies (Washington, D.C.)",academia,,,,,
King's College London,academia,,,,,
Organization For Policy Research And Development Studies,academia,,,,,
Palestinian Center For Policy And Survey Research,academia,,,,,
Sana'a Center For Strategic Studies,academia,,,,,
Somali Women’s Studies Centre,academia,,,,,
Stimson Center,academia,,,,,
Strategic Foresight Group,academia,,,,,
U.S./Middle East Project,academia,,,,,
University of Oxford,academia,,,,,
WASHM Center for Women's Studies,academia,,,,,
"Yale University (New Haven, Conn.)",academia,,,,,
ACADESAN,civil_society,,,,,
ACCORD,civil_society,,,,,
ADVOX,civil_society,,,,,
Abductees' Mothers Association,civil_society,,,,,
Afghan Women Skills Development Centre,civil_society,,,,,
Afghan Women's Network,civil_society,,,,,
Afghan Youth,civil_society,,,,,
Afghanistan Independent Human Rights Commission,civil_society,,,,,
Afghans For Progressive Thinking,civil_society,,,,,
Afia Mama (Organization : Democratic Republic of Congo),civil_society,,,,,
African Women In Dialogue,civil_society,,,,,
African Women Leaders Network,civil_society,,,,,
Al Amal Fund,civil_society,,,,,
Al-Amal Association,civil_society,,,,,
Amal-Tikva,civil_society,,,,,
Amani Africa,civil_society,,,,,
Angaza Institute,civil_society,,,,,
Arab American Institute,civil_society,,,,,
Arab Human Rights Foundation,civil_society,,,,,
Asha Gelle Foundation,civil_society,,,,,
Assistance Mission For Africa,civil_society,,,,,
Association Alliance For Peace And Security,civil_society,,,,,
Association Des Femmes Peules Autochtones Du Tchad,civil_society,,,,,
Association IMAD pour la jeunesse et la paix,civil_society,,,,,
Association Of Central African Women Lawyers,civil_society,,,,,
Association Of Indigenous Cabildos Of The North Of Cauca,civil_society,,,,,
Association Protection Sahel,civil_society,,,,,
Asuda for Combating Violence Against Women (Organization : Iraq),civil_society,,,,,
