date,label,kind,source,source_url,note
1946-12-11,General Assembly recognizes genocide as an international crime,legal,A/RES/96(I),https://digitallibrary.un.org/record/669098?ln=en,First United Nations resolution devoted to the crime of genocide
1948-12-09,Genocide Convention adopted,legal,A/RES/260(III),https://www.un.org/en/genocide-prevention/1948-convention,First human rights treaty adopted by the General Assembly
1951-01-12,Genocide Convention enters into force,legal,UNTS No. 1021,https://treaties.un.org/pages/ViewDetails.aspx?chapter=4&clang=_en&mtdsg_no=IV-1&src=TREATY,The twentieth ratification activated the Convention
1957-01-24,Council resolution on the final status of Jammu and Kashmir,council,S/RES/122,https://digitallibrary.un.org/record/112095?ln=en,Reference date for the renewed Kashmir debates carrying repeated genocide claims
1960-07-14,United Nations operation in the Congo authorised,council,S/RES/143,https://digitallibrary.un.org/record/112108?ln=en,Reference date for the Congo debates in which genocide language recurs
1961-06-09,Council establishes its Angola subcommittee,council,S/RES/163,https://digitallibrary.un.org/record/112157?ln=en,Reference date for the Angola debates carrying colonial genocide claims
1963-08-07,Council calls for an arms embargo on South Africa,council,S/RES/181,https://digitallibrary.un.org/record/112181?ln=en,Reference date for apartheid debates carrying genocide language
1971-12-21,Council demands an India-Pakistan ceasefire,council,S/RES/307,https://digitallibrary.un.org/record/90799?ln=en,The 1971 debates include competing claims about violence in East Pakistan and Bangladesh
1975-04-17,Khmer Rouge capture Phnom Penh,atrocity,UN Audiovisual Library of International Law,https://legal.un.org/avl/ha/abunac/abunac.html,Beginning of the Democratic Kampuchea period later prosecuted before the ECCC
1979-01-07,Khmer Rouge rule ends,atrocity,UN Audiovisual Library of International Law,https://legal.un.org/avl/ha/abunac/abunac.html,Cambodia becomes a major object of genocide claims in Council debate
1982-12-16,General Assembly calls Sabra and Shatila an act of genocide,contested,A/RES/37/123 D,https://digitallibrary.un.org/record/605931?ln=en,A contested institutional qualification following the September massacres
1988-03-16,Halabja chemical attack,atrocity,E/CN.4/1989/SR.45/Add.1,https://digitallibrary.un.org/record/61881,Subsequent United Nations debate described the wider campaign against Iraqi Kurds as genocide
1991-09-25,Arms embargo imposed on Yugoslavia,council,S/RES/713,https://docs.un.org/en/S/RES/713(1991),Opening Council measure in the wars that preceded the Bosnia genocide cases
1992-05-30,Sanctions on the Federal Republic of Yugoslavia,council,S/RES/757,https://docs.un.org/en/S/RES/757(1992),First Council enforcement action of the Bosnian war
1993-05-25,International Criminal Tribunal for the former Yugoslavia established,legal,S/RES/827,https://docs.un.org/en/S/RES/827(1993),First international criminal tribunal since Nuremberg
1994-04-06,Rwandan genocide begins,atrocity,UN Rwanda outreach,https://www.un.org/en/preventgenocide/rwanda/historical-background.shtml,Habyarimana's aircraft shot down over Kigali
1994-04-21,UNAMIR cut to 270 troops,council,S/RES/912,https://docs.un.org/en/S/RES/912(1994),The Council's withdrawal at the height of the killing
1994-06-22,Operation Turquoise authorised,council,S/RES/929,https://docs.un.org/en/S/RES/929(1994),French-led intervention under Chapter VII
1994-07-04,RPF takes Kigali,atrocity,UN Rwanda outreach,https://www.un.org/en/preventgenocide/rwanda/historical-background.shtml,End of the hundred days
1994-11-08,International Criminal Tribunal for Rwanda established,legal,S/RES/955,https://docs.un.org/en/S/RES/955(1994),Rwanda voted against the resolution creating it
1995-07-11,Fall of Srebrenica,atrocity,UN Srebrenica outreach,https://www.un.org/en/observances/srebrenica-genocide-commemoration-day/about,Later ruled genocide by the ICTY and the ICJ
1995-12-14,Dayton Agreement signed in Paris,conflict,S/1996/1017,https://docs.un.org/en/S/1996/1017,
1998-07-17,Rome Statute adopted,legal,A/CONF.183/9,https://docs.un.org/en/A/CONF.183/9,Genocide as the first of the four core crimes
1999-03-24,NATO air campaign over Kosovo begins,conflict,SC/6657,https://press.un.org/en/1999/19990324.sc6657.html,Intervention without Council authorisation
1999-12-15,Independent inquiry into UN action in Rwanda,institutional,S/1999/1257,https://docs.un.org/en/S/1999/1257,The Carlsson report
2002-07-01,Rome Statute enters into force,legal,ICC-ASP/14/30,https://asp.icc-cpi.int/sites/asp/files/asp_docs/ASP14/ICC-ASP-14-30-ENG.pdf,
2004-04-07,Action Plan to Prevent Genocide,institutional,SG/SM/9245,https://press.un.org/en/2004/sgsm9245.doc.htm,Announced on the tenth anniversary of Rwanda
2004-07-30,Darfur: arms embargo and demands on the Janjaweed,council,S/RES/1556,https://docs.un.org/en/S/RES/1556(2004),
2004-09-09,US Secretary of State names Darfur a genocide,contested,US State Department,https://2001-2009.state.gov/secretary/former/powell/remarks/c12827.htm,A state qualification the Council did not adopt
2005-03-31,Darfur referred to the International Criminal Court,legal,S/RES/1593,https://docs.un.org/en/S/RES/1593(2005),First Council referral to the ICC
2005-09-16,World Summit Outcome adopts the responsibility to protect,institutional,A/RES/60/1,https://docs.un.org/en/A/RES/60/1,Paragraphs 138-139
2006-04-28,Responsibility to protect reaffirmed by the Council,council,S/RES/1674,https://docs.un.org/en/S/RES/1674(2006),Protection of civilians in armed conflict
2008-08-08,Russia-Georgia war,contested,SC/9417,https://press.un.org/en/2008/sc9417.doc.htm,Competing genocide claims over South Ossetia
2010-07-12,ICC issues a genocide warrant for al-Bashir,legal,ICC-02/05-01/09,https://www.icc-cpi.int/darfur/albashir,Genocide added to the 2009 warrant
2011-03-17,Libya: all necessary measures,council,S/RES/1973,https://docs.un.org/en/S/RES/1973(2011),The high-water mark of R2P
2011-10-04,First Russian and Chinese veto on Syria,council,SC/10403,https://press.un.org/en/2011/sc10403.doc.htm,
2013-08-21,Ghouta chemical attack,atrocity,A/67/997-S/2013/553,https://digitallibrary.un.org/record/756814?ln=en&v=pdf,
2014-03-15,Crimea draft resolution vetoed,council,S/2014/189,https://docs.un.org/en/S/2014/189,
2014-08-03,Sinjar: ISIL attacks the Yazidis,atrocity,A/HRC/32/CRP.2,https://www.ohchr.org/Documents/HRBodies/HRCouncil/CoISyria/A_HRC_32_CRP.2_en.pdf,
